Entreprise;source;Nombre d'offres postés les 10 derniers jours;Contacté;Notes;website_url;activity_sector;attributed_sale;status
N.A.;Hello Work;85;;;https://en.wikipedia.org/wiki/Na;Other;;
Chanel;LinkedInIndeed;20;Non;;https://www.chanel.com/fr/;Other;;Client
Eiffage;Cadre EmploiCadre Emploi;17;Non;;https://www.eiffage.com/;Other;;
Accenture;Cadre Emploi;16;;;https://www.accenture.com/fr-fr;Other;;
Capgemini;Cadre Emploi;14;Non;;https://www.capgemini.com/fr-fr/;Other;;
Eiffage Construction;Cadre Emploi;11;;;https://www.eiffageconstruction.com/;Other;;
Société Générale;Cadre Emploi;9;Non;;https://particuliers.sg.fr/;Other;;
Totalenergies;Indeed;8;Non;;https://www.totalenergies.fr/;Other;;
Printemps;Indeed;8;Non;;https://www.printemps.com/fr/fr;Other;;Pas intéressant
Sncf;Indeed;8;;;https://www.sncf.com/fr;Other;;
Groupe Kering;Indeed;7;Non;;https://www.kering.com/fr/groupe/;Other;Karine;Contacté
Smabtp;Hello Work;7;;;https://www.smabtp.fr/sma/assurance/;Other;;
Sodexo;Cadre EmploiCadre Emploi;7;Non;;https://www.sodexo.fr/;Other;;
Louis Vuitton;Indeed;6;Non;;https://fr.louisvuitton.com/fra-fr/homepage;Other;Esther;Client
L'Oréal;Cadre Emploi;6;;;https://www.loreal-paris.fr/;Other;;
Ag2R La Mondiale;Hello WorkIndeed;5;;;https://www.ag2rlamondiale.fr/;Other;;
Total;Cadre EmploiCadre Emploi;5;;;https://www.google.com;Other;;
Courir;Indeed;5;;;https://www.courir.com/;Other;;
Engie Solutions;Hello WorkIndeed;5;;;https://www.engie-solutions.com/fr;Other;;
Galeries Lafayette;Hello Work;5;Oui;;https://www.galerieslafayette.com/;Other;;Pas intéressant
Chronopost;IndeedHello Work;4;Non;;https://www.chronopost.fr/fr/prehome;Other;;
Ibm;Cadre Emploi;4;;;https://www.ibm.com/;Other;;
Lvmh;Cadre Emploi;4;;;https://www.lvmh.com/;Other;;
Nextgen Rh;Hello Work;4;;;https://www.nextgenrh.fr/;Other;;
Florence Dore Sa;Hello Work;4;;;http://www.florencedore.fr/;Other;;
Ville De Paris;Indeed;4;;;https://www.paris.fr/;Other;;
Extend Consulting;Hello Work;4;;;https://extend-consulting.com/;Other;;
Pwc;Cadre Emploi;4;;;https://www.pwc.com/;Other;;
Kpmg;Cadre Emploi;4;Non;;https://kpmg.com/fr/fr/home.html;Other;;
Groupe Air Liquide;Hello Work;3;;;https://www.airliquide.com/fr;Other;;
Bnp Paribas;Hello Work;3;Non;;https://mabanque.bnpparibas/;Other;;
This Company Wishes To Remain Anonymous;Hello Work;3;;;https://www.quora.com/What-are-the-reasons-for-someone-wanting-to-remain-anonymous-when-leaving-feedback-or-writing-reviews-for-businesses-products-and-services;Other;;
Ap-Hp;Hello Work;3;;;https://www.aphp.fr/;Other;;
Air France;Cadre Emploi;3;;;https://wwws.airfrance.fr/;Other;;
Disneyland Paris;Indeed;3;Non;;https://www.disneylandparis.com/fr-fr/;Other;;
Vinci Energies;IndeedCadre Emploi;3;Non;;https://www.vinci-energies.com/;Other;;
Chronofresh;Indeed;3;;;https://www.chronofresh.fr/en;Other;;
Publicis Groupe;Cadre Emploi;3;;;https://www.publicisgroupe.com/fr/splash;Other;;
Adidas;IndeedLinkedIn;3;;;https://www.adidas.fr/;Other;;
Suez;Cadre Emploi;3;;;https://www.suez.com/en;Other;;
Nahmias Semhoun Avocats;Hello Work;3;;;https://nsavocatsparis.fr/;Other;;
Wavestone;Cadre Emploi;3;;;https://www.wavestone.com/en/;Other;;
Ab Inbev;Indeed;3;;;https://www.ab-inbev.com/;Other;;
Bouygues Telecom;Cadre Emploi;3;Non;;https://www.bouyguestelecom.fr/;Other;;
Eurazeo;Cadre Emploi;3;;;https://www.google.com;Other;;
Groupe Primonial;Hello Work;3;Non;;https://www.primonial.com/;Other;;
Emil Frey France;LinkedIn;3;;;https://emilfreyfrance.fr/;Other;;
Onestaff;Hello Work;3;;;https://www.onestaff.eu/en;Other;;
Fiducial;Indeed;3;Non;;https://www.fiducial.fr/;Other;;
Ogeris France;LinkedInIndeed;2;;;https://ogeris-france.com/;Other;;
Sanofi;Cadre Emploi;2;;;https://www.sanofi.com/en;Other;;
Côme;LinkedIn;2;;;https://fr.wikipedia.org/wiki/C%C3%B4me;Other;;
Hermès;LinkedIn;2;;;https://www.hermes.com/;Other;;
Potel Et Chabot;IndeedHello Work;2;Non;;https://poteletchabot.com/;Other;;
Free;Cadre Emploi;2;;;https://www.free.fr/;Other;;
Hsbc;Indeed;2;Non;;https://www.hsbc.fr/;Other;;
Mobilize Financial Services;Hello Work;2;;;https://www.mobilize-fs.fr/;Other;;
Pharmacos;Hello Work;2;;;https://www.pharmacos.fr/en/;Other;;
Mgen;Hello Work;2;;;https://www.mgen.fr/;Other;;
Pi Electronique;Indeed;2;;;https://www.google.com;Other;;
Sushi Shop;Indeed;2;;;https://www.mysushishop.co.uk/;Other;;
Onet Accueil;Hello Work;2;;;https://www.onet.fr/accueil/;Other;;
Saint Gobain;Indeed;2;;;https://www.saint-gobain.com/en;Other;;
Fournier Groupe;LinkedIn;2;;;https://www.google.com;Other;;
